opt;10teams;924
opt;a1c1s1;11503.4
opt;aflow30a;1158
opt;aflow40b;1168
opt;air04;56137
opt;air05;26374
opt;arki001;7580810
opt;atlanta-ip;90.01
opt;cap6000;-2451380
unkn;dano3mip;
opt;danoint;65.667
opt;disktom;-5000
opt;ds;93.52
opt;fast0507;174
opt;fiber;405935
opt;fixnet6;3983
opt;gesa2-o;25779900
opt;gesa2;25779900
opt;glass4;1200010000
opt;harp2;-73899800
unkn;liu;
opt;manna81;-13164
opt;markshare1;1
opt;markshare2;1
opt;mas74;11801.2
opt;mas76;40005.1
opt;misc07;2810
opt;mkc;-563.846
opt;modglob;20740500
opt;momentum1;109143
opt;momentum2;12314.2
unkn;momentum3;
opt;msc98-ip;19839500
opt;mzzv11;-21718
opt;mzzv42z;-20540
opt;net12;214
opt;noswot;-41
opt;nsrand-ipx;51200
opt;nw04;16862
opt;opt1217;-16
opt;p2756;3124
opt;pk1;11
opt;pp08a;7350
opt;pp08aCUTS;7350
opt;protfold;-31
opt;qiu;-132.873
opt;rd-rplusc-21;165395
opt;roll3000;12890
opt;rout;1077.56
opt;set1ch;54537.8
opt;seymour;423
opt;sp97ar;660706000
opt;stp3d;493.72
opt;swath;467.407
unkn;t1717;
opt;timtab1;764772
opt;timtab2;1096560
opt;tr12-30;130596
opt;vpm2;13.75
