opt;10teams;924
opt;22433;21477
opt;23588;8090
opt;2club200v15p5scn;-70
opt;30_70_45_05_100;9
opt;30_70_45_095_100;3
opt;30_70_45_095_98;12
opt;30n20b8;302
opt;50v-10;3311.179984123
inf;8div-n59k10;
inf;8div-n59k11;
inf;8div-n59k12;
opt;CMS750_4;252
opt;Test3;2673520.21135
opt;a1c1s1;11503.444125
best;a2864-99blp;-257
opt;a2c1s1;10889.137625
opt;ab51-40-100;-10420305975
opt;ab67-40-100;-11186253442
opt;ab69-40-100;-11186281442
opt;ab71-20-100;-10420305975
opt;ab72-40-100;-11186620442
opt;academictimetablebig;427
opt;academictimetablesmall;0
opt;acc-tight2;0
opt;acc-tight4;0
opt;acc-tight5;0
opt;acc-tight6;0
best;adult-max5features;5642.12193889542
best;adult-regularized;7022.953543478
opt;aflow30a;1158
opt;aflow40b;1168
opt;air03;340160
opt;air04;56137
opt;air05;26374
opt;aligninq;2713
opt;allcolor10;6
best;allcolor58;366.0
opt;amaze22012-03-15i;0
opt;amaze22012-06-28i;0
opt;amaze22012-07-04i;0
opt;app1-1;-3
opt;app1-2;-41
opt;app2-1;19294.125
opt;app2-2;212040.3571429
opt;app3;5751714.3289
opt;arki001;7580813.0459
inf;ash608gpia-3col;
best;assign1-10-4;422
opt;assign1-5-8;211.999999999998
opt;atlanta-ip;90.009878614
opt;atm20-100;2463621.57727541
opt;australia-abs-cta;106.9047
opt;b-ball;-1.50000000000001
opt;b1c1s1;24544.25
opt;b2c1s1;25687.9
opt;bab1;-218764.88525
opt;bab2;-357544.3115
best;bab3;-656214.9542
opt;bab5;-106411.8401
opt;bab6;-284248.2307
opt;bc1;3.3383625476
opt;bc;7
opt;beasleyC1;85
opt;beasleyC2;144
opt;beasleyC3;754
opt;beavma;383285
opt;berlin;1044
opt;berlin_5_8_0;62
opt;bg512142;184202.75
best;bharat;4193333.93287
opt;biella1;3065005.78
opt;bienst1;46.7499999999999
opt;bienst2;54.6
opt;binkar10_1;6742.1998835
opt;blend2;7.598985
opt;bley_xl1;190
best;bley_xs1;3940855.47
best;bley_xs1noM;3874310.51
opt;bley_xs2;1051266.38
opt;blp-ar98;6205.2147104
opt;blp-ic97;4025.0235808
opt;blp-ic98;4491.44758395
opt;blp-ir98;2342.315488
opt;bmocbd2;-3.195301e+13
best;bmocbd3;-372986719.737107
opt;bmocbd;-32041010095050
